BUILDING TYPE,TOTAL KWH,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,RENTER-OCCUPIED HOUSING UNITS
Residential,89647.0,96.0,41.0,1.1,87.5,2.59,37.0,17.0
Residential,101394.0,94.0,31.0,2.11,93.22,3.62,26.0,16.0
Residential,39879.0,34.0,11.0,1.8,89.8,3.09,11.0,0.0
Residential,35509.0,94.0,31.0,1.33,101.33,3.62,26.0,16.0
Residential,110079.0,81.0,32.0,1.89,86.22,2.7,30.0,16.0
Residential,41619.0,81.0,32.0,1.0,60.8,2.7,30.0,16.0
Commercial,17981.0,73.0,27.0,2.0,112.5,2.81,26.0,6.0
Residential,27056.0,73.0,27.0,2.33,95.33,2.81,26.0,6.0
Residential,134826.0,73.0,27.0,1.18,76.71,2.81,26.0,6.0
Residential,60554.0,83.0,33.0,2.14,100.29,2.68,31.0,10.0
Residential,70882.0,83.0,33.0,1.33,68.17,2.68,31.0,10.0
Residential,109815.0,109.0,49.0,1.0,2.0,2.27,48.0,34.0
Residential,99290.0,84.0,32.0,2.11,91.67,3.0,28.0,17.0
Residential,60568.0,84.0,32.0,1.33,72.67,3.0,28.0,17.0
Commercial,146983.0,40.0,41.0,1.0,51.67,1.9,21.0,15.0
Residential,63417.0,40.0,41.0,1.4,105.8,1.9,21.0,15.0
Residential,103297.0,97.0,36.0,1.83,74.17,3.03,32.0,21.0
Residential,89515.0,97.0,36.0,1.25,75.88,3.03,32.0,21.0
Residential,61132.0,82.0,28.0,2.0,95.8,3.15,26.0,9.0
Residential,73881.0,82.0,28.0,1.6,72.5,3.15,26.0,9.0
Residential,42009.0,121.0,38.0,1.75,54.5,3.56,34.0,18.0
Residential,106251.0,121.0,38.0,1.2,87.7,3.56,34.0,18.0
Residential,176130.0,89.0,36.0,2.12,105.59,2.78,32.0,10.0
Residential,104728.0,89.0,36.0,1.15,77.38,2.78,32.0,10.0
Residential,115238.0,42.0,14.0,1.14,78.5,3.0,14.0,2.0
Residential,95899.0,28.0,10.0,1.18,77.18,2.8,10.0,2.0
Residential,37814.0,59.0,22.0,2.0,97.33,2.81,21.0,10.0
Residential,85180.0,59.0,22.0,1.33,66.08,2.81,21.0,10.0
Residential,88947.0,63.0,19.0,2.0,88.4,3.71,17.0,6.0
Residential,47756.0,63.0,19.0,1.56,88.89,3.71,17.0,6.0
Residential,28679.0,35.0,12.0,2.0,94.0,3.5,10.0,6.0
Residential,24661.0,35.0,12.0,1.25,66.0,3.5,10.0,6.0
Residential,61165.0,132.0,41.0,2.14,100.86,3.38,39.0,17.0
Residential,121883.0,132.0,41.0,1.28,85.78,3.38,39.0,17.0
Residential,155432.0,132.0,36.0,2.0,86.23,3.77,35.0,17.0
Residential,64030.0,132.0,36.0,1.0,83.5,3.77,35.0,17.0
Commercial,74623.0,15.0,7.0,1.25,36.0,5.0,3.0,3.0
Commercial,535890.0,156.0,65.0,1.25,42.63,2.44,64.0,59.0
Commercial,67569.0,156.0,65.0,1.67,70.0,2.44,64.0,59.0
Residential,30440.0,95.0,28.0,2.0,93.0,3.8,25.0,8.0
Residential,180258.0,95.0,28.0,1.29,82.76,3.8,25.0,8.0
Residential,47342.0,87.0,29.0,1.83,86.5,3.63,24.0,15.0
Residential,88634.0,87.0,29.0,1.36,92.55,3.63,24.0,15.0
Residential,72274.0,27.0,12.0,1.29,89.0,2.45,11.0,3.0
Commercial,54317.0,69.0,28.0,2.0,36.5,3.29,21.0,21.0
Residential,42524.0,87.0,24.0,2.8,94.4,3.78,23.0,9.0
Residential,126740.0,87.0,24.0,1.55,82.09,3.78,23.0,9.0
Residential,165389.0,60.0,22.0,1.79,93.36,3.53,17.0,6.0
Residential,154583.0,159.0,40.0,1.88,62.88,4.42,36.0,20.0
Residential,95958.0,159.0,40.0,1.0,87.82,4.42,36.0,20.0
Commercial,37822.0,100.0,36.0,2.0,41.5,3.13,32.0,15.0
Residential,127619.0,100.0,36.0,2.75,95.75,3.13,32.0,15.0
Residential,101494.0,100.0,36.0,1.3,49.0,3.13,32.0,15.0
Residential,68197.0,120.0,42.0,2.63,99.5,3.24,37.0,23.0
Residential,88334.0,120.0,42.0,1.44,71.11,3.24,37.0,23.0
Residential,34434.0,91.0,29.0,2.5,92.0,3.79,24.0,11.0
Residential,95465.0,91.0,29.0,1.55,70.82,3.79,24.0,11.0
