BUILDING TYPE,TOTAL KWH,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,RENTER-OCCUPIED HOUSING UNITS
Residential,78042.0,129.0,37.0,2.0,90.67,3.49,37.0,17.0
Residential,24812.0,129.0,37.0,1.0,90.25,3.49,37.0,17.0
Commercial,150831.0,238.0,69.0,3.0,84.5,4.41,54.0,48.0
Residential,76768.0,238.0,69.0,2.43,90.43,4.41,54.0,48.0
Residential,32557.0,238.0,69.0,1.5,91.75,4.41,54.0,48.0
Residential,85469.0,84.0,32.0,2.0,78.83,3.11,27.0,14.0
Residential,75034.0,84.0,32.0,1.14,78.29,3.11,27.0,14.0
Commercial,35924.0,196.0,70.0,2.5,85.5,3.16,62.0,50.0
Residential,57772.0,196.0,70.0,2.5,86.25,3.16,62.0,50.0
Residential,195494.0,164.0,69.0,2.0,83.94,2.88,57.0,41.0
Residential,97910.0,151.0,43.0,1.71,77.71,3.97,38.0,24.0
Residential,59500.0,151.0,43.0,1.6,78.4,3.97,38.0,24.0
Residential,85468.0,51.0,34.0,1.8,37.2,2.83,18.0,12.0
Residential,22797.0,51.0,34.0,1.0,67.67,2.83,18.0,12.0
Residential,209152.0,265.0,81.0,2.18,77.41,3.44,77.0,52.0
Residential,27853.0,265.0,81.0,1.0,47.5,3.44,77.0,52.0
Residential,93462.0,176.0,62.0,2.0,90.11,3.38,52.0,24.0
Residential,246632.0,176.0,62.0,1.45,92.69,3.38,52.0,24.0
Commercial,22168.0,204.0,78.0,1.67,65.0,3.0,68.0,60.0
Commercial,52520.0,204.0,78.0,2.0,41.5,3.0,68.0,60.0
Residential,109355.0,204.0,78.0,2.0,82.5,3.0,68.0,60.0
Residential,30712.0,204.0,78.0,1.67,80.0,3.0,68.0,60.0
Residential,73277.0,105.0,39.0,2.14,94.29,3.18,33.0,23.0
Residential,47389.0,105.0,39.0,1.6,95.8,3.18,33.0,23.0
Commercial,73377.0,145.0,42.0,2.0,60.0,3.92,37.0,28.0
Residential,73898.0,145.0,42.0,2.0,86.8,3.92,37.0,28.0
Residential,63517.0,145.0,42.0,1.6,84.0,3.92,37.0,28.0
Commercial,37006.0,141.0,49.0,2.5,84.5,3.2,44.0,32.0
Residential,95721.0,141.0,49.0,2.1,93.8,3.2,44.0,32.0
Residential,39728.0,141.0,49.0,1.6,97.6,3.2,44.0,32.0
Commercial,157478.0,168.0,52.0,1.4,37.4,3.43,49.0,46.0
Residential,18824.0,40.0,20.0,2.0,51.0,3.08,13.0,12.0
Residential,46791.0,168.0,52.0,1.5,47.0,3.43,49.0,46.0
Residential,73998.0,49.0,20.0,1.75,99.5,2.58,19.0,18.0
Residential,64233.0,49.0,20.0,2.0,97.0,2.58,19.0,18.0
Commercial,148386.0,31.0,12.0,1.67,58.67,2.82,11.0,10.0
Commercial,234363.0,30.0,17.0,1.0,19.75,2.31,13.0,6.0
Residential,107432.0,136.0,48.0,2.13,93.13,3.09,44.0,17.0
Residential,69858.0,136.0,48.0,1.75,75.0,3.09,44.0,17.0
Residential,86581.0,125.0,31.0,1.89,84.56,4.63,27.0,17.0
Residential,26521.0,125.0,31.0,1.0,96.83,4.63,27.0,17.0
Commercial,111627.0,240.0,89.0,3.0,88.5,3.04,79.0,57.0
Residential,127191.0,240.0,89.0,2.18,97.45,3.04,79.0,57.0
Residential,16906.0,240.0,89.0,1.5,48.5,3.04,79.0,57.0
Residential,68779.0,169.0,62.0,2.4,97.0,3.02,56.0,31.0
Residential,100298.0,169.0,62.0,1.78,78.44,3.02,56.0,31.0
Residential,41530.0,129.0,40.0,2.33,94.0,3.49,37.0,23.0
Residential,96302.0,129.0,40.0,1.5,80.83,3.49,37.0,23.0
Commercial,42088.0,151.0,49.0,2.5,95.0,3.08,49.0,39.0
Residential,122004.0,151.0,49.0,2.11,83.56,3.08,49.0,39.0
Residential,187555.0,137.0,73.0,2.2,73.2,2.01,68.0,54.0
Residential,90358.0,137.0,73.0,1.67,95.83,2.01,68.0,54.0
Residential,194872.0,136.0,40.0,2.0,89.0,3.78,36.0,16.0
Residential,152195.0,193.0,51.0,2.0,88.58,3.94,49.0,31.0
Commercial,232019.0,34.0,10.0,1.5,76.0,3.78,9.0,9.0
Residential,91601.0,34.0,10.0,1.5,43.0,3.78,9.0,9.0
Residential,191345.0,135.0,47.0,2.33,93.17,3.29,41.0,19.0
Commercial,56881.0,150.0,49.0,1.0,0.0,3.41,44.0,24.0
Residential,122212.0,150.0,49.0,2.18,93.45,3.41,44.0,24.0
Residential,129173.0,178.0,79.0,2.0,94.73,2.51,71.0,65.0
Residential,75142.0,169.0,80.0,2.0,95.29,2.38,71.0,34.0
Residential,117820.0,155.0,62.0,1.91,96.91,2.77,56.0,44.0
Commercial,468504.0,91.0,57.0,1.0,49.75,1.75,52.0,52.0
Commercial,41029.0,133.0,44.0,2.0,58.67,3.17,42.0,34.0
Residential,131262.0,133.0,44.0,1.9,82.9,3.17,42.0,34.0
Residential,18035.0,133.0,44.0,2.0,93.5,3.17,42.0,34.0
Commercial,159394.0,362.0,82.0,3.0,86.5,4.47,81.0,78.0
Residential,56034.0,362.0,82.0,2.0,82.0,4.47,81.0,78.0
Commercial,124487.0,82.0,35.0,1.5,88.0,3.42,24.0,19.0
Residential,100618.0,82.0,35.0,2.67,95.67,3.42,24.0,19.0
Residential,175578.0,110.0,38.0,2.08,94.77,3.24,34.0,15.0
Commercial,906689.0,193.0,67.0,1.75,46.0,3.16,61.0,61.0
Commercial,28553.0,37.0,13.0,2.0,95.0,3.08,12.0,10.0
Residential,57148.0,62.0,20.0,2.0,94.2,3.44,18.0,16.0
Residential,108782.0,78.0,34.0,2.1,95.4,2.52,31.0,15.0
Residential,55806.0,78.0,34.0,1.5,49.5,2.52,31.0,15.0
Residential,122186.0,141.0,40.0,1.88,81.25,3.81,37.0,26.0
Residential,62226.0,141.0,40.0,1.6,97.4,3.81,37.0,26.0
Residential,138260.0,153.0,49.0,2.4,95.1,3.33,46.0,36.0
Residential,70651.0,103.0,34.0,2.0,97.0,3.22,32.0,22.0
Residential,60319.0,103.0,34.0,1.71,63.86,3.22,32.0,22.0
Commercial,31573.0,154.0,47.0,2.0,99.0,3.42,45.0,24.0
Residential,116713.0,154.0,47.0,2.0,95.7,3.42,45.0,24.0
Residential,27427.0,154.0,47.0,1.33,66.67,3.42,45.0,24.0
Residential,128432.0,154.0,36.0,2.0,95.22,4.4,35.0,23.0
Residential,30180.0,154.0,36.0,2.0,97.0,4.4,35.0,23.0
Commercial,155823.0,106.0,47.0,1.33,50.33,2.79,38.0,34.0
Commercial,142876.0,106.0,47.0,3.0,89.5,2.79,38.0,34.0
Commercial,64020.0,35.0,6.0,2.0,80.0,5.83,6.0,5.0
Residential,115579.0,35.0,6.0,1.67,63.0,5.83,6.0,5.0
Residential,30933.0,90.0,38.0,2.33,92.33,2.43,37.0,10.0
Residential,98443.0,90.0,38.0,1.8,95.8,2.43,37.0,10.0
Residential,24696.0,60.0,28.0,2.0,97.5,2.5,24.0,12.0
Residential,103745.0,60.0,28.0,1.83,97.75,2.5,24.0,12.0
Residential,191907.0,262.0,89.0,1.94,90.56,3.23,81.0,68.0
Residential,35881.0,97.0,48.0,2.0,96.5,2.06,47.0,31.0
Residential,15471.0,118.0,50.0,2.0,93.5,2.51,47.0,34.0
Residential,192173.0,120.0,45.0,1.92,80.54,2.67,45.0,23.0
Residential,54753.0,71.0,17.0,2.0,93.0,4.18,17.0,11.0
Residential,80373.0,71.0,17.0,1.38,95.63,4.18,17.0,11.0
Residential,138730.0,128.0,47.0,1.83,81.33,3.12,41.0,29.0
Residential,45435.0,123.0,32.0,1.86,76.86,4.1,30.0,20.0
Residential,65528.0,123.0,32.0,2.0,101.83,4.1,30.0,20.0
Residential,78618.0,86.0,33.0,1.88,85.13,2.69,32.0,15.0
Residential,63182.0,86.0,33.0,1.5,83.13,2.69,32.0,15.0
Residential,134774.0,165.0,47.0,1.91,84.36,3.75,44.0,34.0
Commercial,87309.0,150.0,45.0,2.0,41.5,4.03,34.0,22.0
Residential,149649.0,150.0,45.0,2.0,94.83,4.03,34.0,22.0
Residential,139503.0,111.0,36.0,2.0,96.33,3.47,32.0,19.0
Residential,10686.0,111.0,36.0,2.0,95.5,3.47,32.0,19.0
Residential,92337.0,63.0,37.0,2.0,92.0,1.91,33.0,32.0
Residential,15868.0,77.0,24.0,2.0,93.5,3.5,22.0,22.0
Residential,146910.0,198.0,82.0,2.0,81.58,2.75,72.0,37.0
Residential,130070.0,106.0,35.0,2.14,77.86,3.12,34.0,15.0
Residential,53394.0,106.0,35.0,2.0,94.17,3.12,34.0,15.0
Residential,142001.0,186.0,56.0,2.4,88.6,3.8,49.0,29.0
Residential,15523.0,186.0,56.0,2.0,94.5,3.8,49.0,29.0
Residential,394016.0,357.0,109.0,2.08,82.08,3.64,98.0,84.0
Residential,181486.0,250.0,83.0,2.0,79.6,3.21,78.0,59.0
Residential,75811.0,126.0,50.0,2.0,75.67,2.68,47.0,32.0
Residential,34994.0,126.0,50.0,1.8,100.0,2.68,47.0,32.0
Residential,120177.0,121.0,50.0,2.0,94.0,2.63,46.0,28.0
Residential,24483.0,121.0,50.0,1.0,98.0,2.63,46.0,28.0
Residential,30298.0,164.0,64.0,2.0,86.0,2.69,61.0,50.0
Residential,58361.0,140.0,47.0,2.0,64.67,3.41,41.0,22.0
Residential,146093.0,140.0,47.0,1.83,90.92,3.41,41.0,22.0
Residential,25884.0,50.0,22.0,1.67,66.0,2.5,20.0,7.0
Residential,88997.0,50.0,22.0,2.0,100.0,2.5,20.0,7.0
Residential,58000.0,71.0,25.0,2.0,85.43,3.09,23.0,7.0
Residential,84951.0,71.0,25.0,1.8,80.2,3.09,23.0,7.0
Residential,122335.0,103.0,26.0,1.83,84.33,3.96,26.0,12.0
Residential,37228.0,103.0,26.0,2.0,100.0,3.96,26.0,12.0
Residential,59658.0,155.0,51.0,1.86,100.43,3.37,46.0,22.0
Residential,93956.0,30.0,15.0,2.0,93.29,2.14,14.0,5.0
Residential,131428.0,155.0,51.0,1.5,86.63,3.37,46.0,22.0
Residential,143919.0,162.0,46.0,2.25,95.58,3.77,43.0,21.0
Residential,90119.0,162.0,46.0,1.63,62.0,3.77,43.0,21.0
Commercial,70328.0,169.0,48.0,1.0,0.0,3.67,46.0,35.0
Residential,67466.0,169.0,48.0,2.0,94.2,3.67,46.0,35.0
Residential,50613.0,169.0,48.0,1.83,101.67,3.67,46.0,35.0
Residential,103426.0,188.0,69.0,2.29,96.14,2.94,64.0,61.0
Residential,94172.0,151.0,39.0,2.0,95.38,4.44,34.0,21.0
Residential,61710.0,151.0,39.0,2.0,101.4,4.44,34.0,21.0
Residential,133957.0,157.0,47.0,2.0,94.08,3.83,41.0,29.0
Commercial,59775.0,77.0,26.0,1.67,60.0,3.08,25.0,25.0
Residential,57107.0,77.0,26.0,2.25,99.5,3.08,25.0,25.0
Commercial,76894.0,250.0,99.0,3.0,83.5,2.78,90.0,78.0
Residential,172013.0,250.0,99.0,2.7,89.7,2.78,90.0,78.0
Commercial,201352.0,147.0,54.0,1.0,75.0,3.13,47.0,46.0
Residential,40653.0,147.0,54.0,1.75,71.0,3.13,47.0,46.0
Residential,55121.0,147.0,54.0,1.83,97.83,3.13,47.0,46.0
Residential,130861.0,117.0,49.0,2.09,91.73,2.54,46.0,31.0
Residential,93043.0,117.0,49.0,1.88,96.63,2.54,46.0,31.0
Residential,107998.0,163.0,61.0,2.0,87.33,2.81,58.0,26.0
Residential,113065.0,102.0,32.0,2.33,91.44,3.29,31.0,19.0
Residential,14939.0,102.0,32.0,2.0,92.33,3.29,31.0,19.0
Residential,167496.0,135.0,70.0,2.31,86.46,2.11,64.0,43.0
Residential,10760.0,135.0,70.0,1.33,92.0,2.11,64.0,43.0
Commercial,18008.0,112.0,49.0,1.0,0.0,2.6,43.0,29.0
Residential,165039.0,112.0,49.0,2.45,83.82,2.6,43.0,29.0
Residential,67073.0,112.0,49.0,2.14,99.57,2.6,43.0,29.0
Commercial,104393.0,71.0,40.0,1.0,30.67,1.78,40.0,40.0
Commercial,236395.0,71.0,40.0,2.0,71.0,1.78,40.0,40.0
Residential,17641.0,71.0,40.0,2.0,45.0,1.78,40.0,40.0
Residential,64207.0,71.0,40.0,2.0,82.17,1.78,40.0,40.0
Commercial,68413.0,84.0,41.0,1.0,28.5,2.15,39.0,16.0
Residential,63878.0,84.0,41.0,1.11,66.22,2.15,39.0,16.0
Residential,33751.0,30.0,15.0,1.0,89.75,2.14,14.0,5.0
Residential,55328.0,29.0,15.0,1.67,76.0,2.07,14.0,6.0
Residential,69965.0,29.0,15.0,1.14,90.43,2.07,14.0,6.0
Residential,106219.0,37.0,21.0,2.0,92.73,1.95,19.0,11.0
Residential,54943.0,37.0,21.0,1.0,90.25,1.95,19.0,11.0
Residential,38454.0,17.0,9.0,1.25,84.5,2.13,8.0,0.0
Residential,110585.0,46.0,13.0,1.75,83.17,3.54,13.0,0.0
Residential,68842.0,45.0,16.0,2.0,93.86,3.0,15.0,8.0
Residential,104351.0,23.0,8.0,1.55,83.45,2.88,8.0,0.0
Commercial,19650.0,53.0,28.0,2.0,84.0,2.12,25.0,7.0
Residential,73726.0,53.0,28.0,2.0,85.38,2.12,25.0,7.0
Residential,149583.0,53.0,28.0,1.6,88.93,2.12,25.0,7.0
Residential,130256.0,51.0,29.0,2.0,92.42,2.22,23.0,14.0
Residential,126550.0,71.0,33.0,2.0,88.54,2.29,31.0,19.0
Residential,44728.0,25.0,12.0,2.0,95.33,2.78,9.0,0.0
Residential,69519.0,25.0,12.0,1.63,90.75,2.78,9.0,0.0
Residential,59138.0,25.0,15.0,1.75,88.5,1.79,14.0,3.0
Residential,53954.0,25.0,15.0,1.17,85.83,1.79,14.0,3.0
Commercial,99925.0,53.0,23.0,1.33,18.0,2.41,22.0,4.0
Residential,68074.0,53.0,23.0,2.33,82.33,2.41,22.0,4.0
Residential,73544.0,53.0,23.0,1.5,52.0,2.41,22.0,4.0
Residential,40598.0,17.0,6.0,1.2,89.6,2.83,6.0,0.0
Residential,56937.0,22.0,7.0,1.5,89.0,3.14,7.0,0.0
Residential,11076.0,14.0,8.0,2.0,93.0,2.0,7.0,0.0
Residential,29753.0,14.0,8.0,1.2,87.8,2.0,7.0,0.0
Residential,19024.0,47.0,31.0,2.33,96.67,1.74,27.0,17.0
Residential,59852.0,32.0,12.0,2.0,88.75,2.67,12.0,0.0
Residential,63194.0,32.0,12.0,1.86,93.14,2.67,12.0,0.0
Residential,21992.0,22.0,10.0,2.0,92.5,2.2,10.0,0.0
Residential,72128.0,22.0,10.0,1.5,91.75,2.2,10.0,0.0
Residential,27976.0,20.0,10.0,2.0,71.5,2.5,8.0,0.0
Residential,67208.0,20.0,10.0,1.63,81.63,2.5,8.0,0.0
Residential,34805.0,26.0,10.0,2.0,93.75,2.6,10.0,1.0
Residential,47293.0,26.0,10.0,1.83,97.5,2.6,10.0,1.0
Residential,54748.0,34.0,11.0,1.5,91.17,3.09,11.0,0.0
Residential,119606.0,30.0,11.0,1.45,90.73,2.73,11.0,0.0
Commercial,46499.0,67.0,35.0,1.0,0.0,1.91,35.0,9.0
Residential,98994.0,67.0,35.0,2.0,97.56,1.91,35.0,9.0
Commercial,28125.0,79.0,47.0,2.0,45.0,2.19,36.0,26.0
Residential,72610.0,79.0,47.0,2.33,74.5,2.19,36.0,26.0
Residential,50538.0,79.0,47.0,2.0,98.4,2.19,36.0,26.0
Residential,38771.0,135.0,59.0,2.0,95.5,2.37,57.0,11.0
Residential,30874.0,135.0,59.0,2.0,98.33,2.37,57.0,11.0
Residential,143323.0,89.0,40.0,2.2,93.47,2.54,35.0,24.0
Residential,47561.0,89.0,40.0,1.5,49.0,2.54,35.0,24.0
Residential,25416.0,34.0,15.0,1.29,91.5,2.27,15.0,0.0
Residential,174602.0,39.0,14.0,1.54,73.54,2.79,14.0,0.0
Residential,141019.0,37.0,15.0,1.38,90.62,2.47,15.0,0.0
Residential,74968.0,106.0,49.0,1.8,95.8,2.16,49.0,21.0
Residential,97469.0,31.0,12.0,1.25,83.75,2.58,12.0,0.0
Residential,170192.0,43.0,15.0,1.4,89.8,3.07,14.0,0.0
Residential,42168.0,33.0,14.0,2.33,90.67,2.54,13.0,1.0
Residential,90945.0,33.0,14.0,1.36,89.45,2.54,13.0,1.0
Commercial,73375.0,217.0,72.0,1.67,14.33,3.1,70.0,68.0
Commercial,103825.0,91.0,52.0,1.5,41.5,1.82,50.0,18.0
Residential,54196.0,162.0,43.0,2.25,93.5,3.95,41.0,32.0
Residential,32345.0,80.0,37.0,1.75,96.25,2.22,36.0,17.0
Commercial,85528.0,73.0,26.0,1.25,44.5,3.32,22.0,21.0
Industrial,78918.0,73.0,26.0,1.0,0.0,3.32,22.0,21.0
Residential,16133.0,73.0,26.0,2.0,97.5,3.32,22.0,21.0
Residential,136441.0,98.0,40.0,2.1,87.0,2.65,37.0,27.0
Residential,14311.0,98.0,40.0,1.0,88.33,2.65,37.0,27.0
Commercial,36695.0,119.0,43.0,1.5,47.5,2.9,41.0,33.0
Residential,127595.0,119.0,43.0,2.0,84.6,2.9,41.0,33.0
Residential,10925.0,119.0,43.0,2.0,99.5,2.9,41.0,33.0
Residential,106022.0,110.0,51.0,1.91,87.18,2.39,46.0,35.0
Residential,133580.0,112.0,42.0,2.2,83.8,2.95,38.0,14.0
Residential,39268.0,112.0,42.0,1.5,50.0,2.95,38.0,14.0
Residential,59522.0,73.0,29.0,1.8,74.4,2.81,26.0,15.0
Residential,56582.0,73.0,29.0,1.88,92.88,2.81,26.0,15.0
Residential,92723.0,106.0,49.0,2.2,93.8,2.16,49.0,21.0
Residential,29266.0,80.0,36.0,2.33,93.0,2.5,32.0,8.0
Residential,50780.0,80.0,36.0,1.71,97.86,2.5,32.0,8.0
Residential,27757.0,97.0,36.0,2.0,92.75,2.69,36.0,8.0
Residential,52763.0,97.0,36.0,1.5,99.13,2.69,36.0,8.0
Residential,101438.0,104.0,50.0,2.0,84.6,2.6,40.0,23.0
Residential,7716.0,104.0,50.0,2.0,100.0,2.6,40.0,23.0
Residential,34555.0,40.0,30.0,2.0,95.0,1.54,26.0,26.0
Residential,75745.0,66.0,36.0,1.5,83.33,1.94,34.0,5.0
Residential,101576.0,11.0,4.0,1.1,72.4,2.75,4.0,0.0
Residential,194577.0,258.0,69.0,2.0,96.33,4.16,62.0,54.0
Commercial,387581.0,6.0,6.0,1.5,86.5,1.0,6.0,6.0
Residential,122481.0,86.0,30.0,2.0,93.3,3.31,26.0,25.0
Residential,14712.0,86.0,30.0,1.0,98.0,3.31,26.0,25.0
Commercial,312724.0,55.0,25.0,1.67,48.67,2.5,22.0,21.0
Commercial,52456.0,55.0,25.0,2.5,89.0,2.5,22.0,21.0
Residential,84136.0,55.0,25.0,2.0,92.67,2.5,22.0,21.0
Commercial,173191.0,310.0,111.0,1.33,59.0,2.95,105.0,69.0
Residential,143298.0,310.0,111.0,1.83,78.17,2.95,105.0,69.0
Commercial,158377.0,286.0,81.0,3.0,89.5,3.71,77.0,70.0
Residential,85881.0,90.0,46.0,2.0,81.56,2.0,45.0,37.0
Residential,23529.0,90.0,46.0,2.0,96.0,2.0,45.0,37.0
Residential,99212.0,32.0,15.0,1.21,84.14,2.13,15.0,2.0
Residential,67796.0,22.0,8.0,1.14,78.29,2.75,8.0,1.0
Residential,56884.0,21.0,6.0,1.57,86.14,3.5,6.0,0.0
Residential,91906.0,22.0,10.0,1.2,89.7,2.2,10.0,0.0
Residential,101665.0,28.0,10.0,1.5,83.42,2.8,10.0,0.0
Residential,49418.0,17.0,7.0,1.5,95.33,2.43,7.0,1.0
Residential,42791.0,14.0,6.0,2.0,43.0,2.33,6.0,6.0
Residential,142629.0,235.0,80.0,2.08,84.75,3.09,76.0,41.0
Commercial,57559.0,163.0,51.0,1.0,0.0,3.4,48.0,41.0
Residential,158156.0,163.0,51.0,2.0,96.33,3.4,48.0,41.0
Residential,34438.0,26.0,10.0,2.0,97.67,2.6,10.0,0.0
Residential,72414.0,26.0,10.0,1.14,86.86,2.6,10.0,0.0
Commercial,22958.0,66.0,41.0,2.0,40.0,1.61,41.0,21.0
Residential,55388.0,66.0,41.0,2.5,47.5,1.61,41.0,21.0
Residential,25097.0,55.0,27.0,2.0,16.0,2.62,21.0,17.0
Residential,20330.0,75.0,48.0,1.5,94.5,1.6,47.0,40.0
Residential,85317.0,23.0,8.0,1.14,92.29,2.88,8.0,0.0
Residential,12944.0,21.0,9.0,1.5,46.0,2.33,9.0,1.0
Residential,86310.0,21.0,9.0,1.2,93.7,2.33,9.0,1.0
Residential,68069.0,22.0,8.0,1.17,83.0,2.75,8.0,1.0
Residential,41737.0,19.0,6.0,1.6,75.4,3.17,6.0,0.0
Residential,37902.0,41.0,16.0,2.0,61.0,2.56,16.0,0.0
