Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination
 Blitz ,avivatico2,teban2000,1-0,2016.06.30,22:40:30,1786,1708,9.0,-8.0,A40,Horwitz Defense,180+0,Normal
 Bullet ,Madachka007,mckarpow,1-0,2016.06.30,22:40:32,2039,1913,8.0,-7.0,C45,Scotch Game: Schmidt Variation,120+1,Normal
 Classical ,voldkirk,silver777888,1-0,2016.06.30,22:40:07,1820,1832,12.0,-11.0,A40,Horwitz Defense,600+0,Normal
 Classical tournament ,kile,renan_stockler,1-0,2016.06.30,22:40:30,1795,1802,12.0,-11.0,B50,Sicilian Defense: Delayed Alapin,600+0,Normal
 Blitz ,siko191,katehon,1-0,2016.06.30,22:40:28,1700,1704,11.0,-11.0,B00,Owen Defense,180+0,Time forfeit
 Bullet tournament ,Igor_Vechil,ferrari9182,0-1,2016.06.30,22:40:21,1910,2317,-2.0,2.0,A60,Benoni Defense: Modern Variation,60+0,Normal
 Classical ,Benzid15,generalvelasco,1-0,2016.06.30,22:40:31,1888,1867,11.0,-10.0,B00,"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",900+0,Normal
 Classical tournament ,kadi,BURAKGM,0-1,2016.06.30,22:40:30,1558,1891,-16.0,12.0,B20,Sicilian Defense: Bowdler Attack,600+0,Normal
 Bullet ,Loon12,destrunkeN-a,0-1,2016.06.30,22:40:32,1738,1713,-12.0,12.0,B10,Caro-Kann Defense,60+0,Time forfeit
 Bullet ,p_a_arty,roberto_avb,0-1,2016.06.30,22:40:31,1454,1489,-9.0,11.0,D00,Queen's Pawn Game: Mason Attack,30+1,Normal
 Bullet ,mightydogg,racim,1-0,2016.06.30,22:40:33,1866,1836,10.0,-12.0,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation #2",60+0,Time forfeit
 Blitz ,ogeidyjes,Turnedone,0-1,2016.06.30,22:40:25,2017,2083,-9.0,9.0,B06,Modern Defense: Standard Defense,300+0,Normal
 Classical ,xyzee,CIROPERU,0-1,2016.06.30,22:40:30,1801,2037,-7.0,5.0,A02,Bird Opening,600+0,Normal
 Blitz ,BrazilChess,marantz3,0-1,2016.06.30,22:40:34,1405,2348,0.0,0.0,C57,"Italian Game: Two Knights Defense, Ponziani-Steinitz Gambit",300+0,Normal
 Classical ,Maroussia,cafiso2,1-0,2016.06.30,22:40:32,1625,1640,12.0,-12.0,C41,Philidor Defense,300+8,Time forfeit
 Blitz ,deen13,th0mas,0-1,2016.06.30,22:40:27,1858,1844,-11.0,12.0,C50,Italian Game: Rousseau Gambit,300+0,Normal
 Blitz ,Sandi_Croatia,Robbm,0-1,2016.06.30,22:40:34,1629,1549,-14.0,14.0,D10,Slav Defense: Exchange Variation,180+2,Time forfeit
 Classical ,FancyFish69,issamnovice,0-1,2016.06.30,22:40:35,1216,1475,-4.0,7.0,B01,Scandinavian Defense,900+0,Normal
 Bullet ,a12345abcd3,Isaiah4031,0-1,2016.06.30,22:40:34,1435,1348,-15.0,14.0,B43,"Sicilian Defense: Kan Variation, Knight Variation",0+3,Normal
 Blitz ,asciiman,Crispim,1-0,2016.06.30,22:40:34,1799,1728,9.0,-9.0,C41,Philidor Defense: Exchange Variation #3,300+0,Normal
 Classical ,podrisas,Wunderbar,1-0,2016.06.30,22:40:35,1459,1711,18.0,-25.0,C20,King's Pawn Game: Wayward Queen Attack,540+0,Time forfeit
 Classical ,Snei,Shaundoz,0-1,2016.06.30,22:40:37,1655,1590,-12.0,13.0,C41,Philidor Defense #3,600+0,Normal
 Bullet ,liparrene,zafarynl,0-1,2016.06.30,22:40:37,1937,1833,-14.0,14.0,A00,Hungarian Opening: Dutch Defense,60+0,Normal
 Blitz ,WolfgangSenff,Denis171985,1-0,2016.06.30,22:40:38,1838,1717,7.0,-8.0,A41,Old Indian Defense,300+0,Normal
 Classical ,MeroAlosh,M0BIDIK,1-0,2016.06.30,22:40:34,1961,1848,7.0,-94.0,C40,King's Pawn Game: Damiano Defense,600+5,Normal
 Blitz ,rado68399,armadilloXXL,0-1,2016.06.30,22:40:36,1949,1952,-10.0,10.0,D30,"Queen's Gambit Declined: Tarrasch Defense, Pseudo-Tarrasch",180+0,Normal
 Correspondence ,FBraz11,Dumpycolby,1-0,2016.06.30,22:40:35,1522,1541,19.0,-17.0,C20,King's Pawn Game: Wayward Queen Attack,-,Normal
 Blitz ,MakeChessGreatAgain,mauriziospin,1-0,2016.06.30,22:40:32,1918,1490,2.0,-2.0,C00,French Defense: Horwitz Attack,180+0,Normal
 Classical ,Rodrigo337,neoser16,0-1,2016.06.30,22:40:35,1500,1557,-146.0,7.0,C00,French Defense: Queen's Knight,600+0,Normal
 Classical ,juanmartinmotta,Vardan15,0-1,2016.06.30,22:40:35,1580,1585,-11.0,21.0,C41,Philidor Defense #2,1500+5,Normal
 Classical ,pablomingo,andrelenomade,1-0,2016.06.30,22:40:39,1666,1756,15.0,-14.0,D00,Queen's Pawn Game: Chigorin Variation,600+0,Normal
 Classical ,hooponopono,BuuurrraaakkKkk,1-0,2016.06.30,22:40:39,2013,1500,2.0,-30.0,D02,Queen's Pawn Game: Zukertort Variation,420+2,Normal
 Blitz ,Johann81,JoakinDz,1-0,2016.06.30,22:40:38,2032,1772,5.0,-4.0,C91,"Ruy Lopez: Closed Variations, Yates Variation",300+1,Time forfeit
 Blitz ,doubleentendres,sugs,0-1,2016.06.30,22:40:39,2147,2174,-10.0,10.0,D07,Queen's Gambit Refused: Chigorin Defense #2,180+0,Normal
 Blitz ,alfkus,Valdemarro,1-0,2016.06.30,22:40:42,1701,1622,9.0,-8.0,C00,French Defense: Knight Variation,300+0,Normal
 Bullet tournament ,cougarsrule,hamdy7777,0-1,2016.06.30,22:40:42,1862,1532,-21.0,24.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,60+0,Normal
 Bullet tournament ,DevilFish,mwbierna,1-0,2016.06.30,22:40:42,2198,2096,10.0,-9.0,A00,Van Geet Opening,60+0,Time forfeit
 Classical ,Zeitgeist12345,edss,0-1,2016.06.30,22:40:43,1450,1578,-7.0,7.0,A40,Queen's Pawn,720+0,Normal
 Blitz ,mj_911,ligail,1-0,2016.06.30,22:40:44,1719,1486,4.0,-5.0,D10,Slav Defense #2,300+0,Normal
 Blitz ,Pierre_Brunetot,naotomate,0-1,2016.06.30,22:40:43,1514,1587,-9.0,8.0,A00,Mieses Opening,180+0,Normal
 Blitz ,DonJohn,paambtomaquet,0-1,2016.06.30,22:40:42,2063,1884,-16.0,17.0,B00,Nimzowitsch Defense: El Columpio Defense,180+2,Normal
 Blitz tournament ,mayconchess,chm00002,1-0,2016.06.30,22:40:46,1876,1819,10.0,-10.0,E20,Nimzo-Indian Defense: Ragozin Variation,180+0,Normal
 Bullet ,Macxsimus,BeautifulSquares,0-1,2016.06.30,22:40:43,1863,1735,-15.0,14.0,C45,"Scotch Game: Scotch Gambit, Kingside Variation",60+0,Time forfeit
 Blitz tournament ,NeUmeuIgrat,emresoner,1-0,2016.06.30,22:40:46,1943,1731,5.0,-6.0,C21,Center Game #2,180+0,Normal
 Blitz tournament ,Ojoquesoybueno,chupakabr,1-0,2016.06.30,22:40:46,2031,2003,14.0,-11.0,B07,Pirc Defense: Byrne Variation,180+0,Normal
 Bullet ,Herone,sefikzvekic12,0-1,2016.06.30,22:40:38,1750,1844,-8.0,9.0,C45,Scotch Game,120+0,Normal
 Classical ,sammyuel,eisaaaa,1-0,2016.06.30,22:40:44,2017,1931,9.0,-8.0,B00,Owen Defense,300+5,Time forfeit
 Blitz ,chrs71,Waseemdra,0-1,2016.06.30,22:40:48,1509,1753,-5.0,8.0,A40,English Defense #2,180+0,Time forfeit
 Blitz ,AFumbuja,julian512,1-0,2016.06.30,22:40:45,1237,1247,11.0,-11.0,A40,"Englund Gambit Declined, Reversed French",180+0,Time forfeit
 Blitz tournament ,MatiRL,joecima,1-0,2016.06.30,22:40:46,2093,2078,12.0,-10.0,C42,Petrov's Defense #5,180+0,Normal
 Blitz tournament ,IZDenisZI,enkku,1/2-1/2,2016.06.30,22:40:46,1880,1929,2.0,-2.0,B16,Caro-Kann Defense: Bronstein-Larsen Variation,300+0,Normal
 Classical ,papaer-boy,AgaTaRo,0-1,2016.06.30,22:40:46,1696,1667,-12.0,12.0,A04,Reti Opening #2,1020+0,Normal
 Classical ,donteatme,Reymax,1-0,2016.06.30,22:40:50,1667,1532,7.0,-7.0,C41,Philidor Defense #3,600+0,Normal
 Blitz ,mlatasrb,BARAKOFF,0-1,2016.06.30,22:40:46,1727,1792,-9.0,8.0,B52,"Sicilian Defense: Canal Attack, Main Line",180+7,Normal
 Blitz ,cheenko,easytobeat,0-1,2016.06.30,22:40:44,2360,2605,-5.0,6.0,A00,Van Geet Opening: Reversed Nimzowitsch,180+2,Normal
 Bullet ,lukki67,Evo01,1-0,2016.06.30,22:40:45,2075,1953,9.0,-7.0,D00,Queen's Pawn Game: Mason Attack,90+2,Normal
 Blitz tournament ,roodian,Samir2004,1-0,2016.06.30,22:40:49,2119,1373,0.0,-1.0,A35,"English Opening: Symmetrical Variation, Two Knights Variation",180+2,Normal
 Blitz ,Marcospombo,taha1970,1-0,2016.06.30,22:40:50,1511,1753,18.0,-18.0,C65,Ruy Lopez: Berlin Defense #2,300+0,Normal
 Blitz ,Cbonfim125,mykasper,1-0,2016.06.30,22:40:50,1463,1326,8.0,-7.0,C20,English Opening: The Whale,300+0,Time forfeit
 Bullet ,one_trick_pony,amir51,1-0,2016.06.30,22:40:41,2156,1916,5.0,-4.0,B01,Scandinavian Defense,30+0,Time forfeit
 Bullet ,iddo,CrazyMadMax4,1-0,2016.06.30,22:40:50,2142,2370,19.0,-17.0,C21,Danish Gambit,30+0,Time forfeit
 Bullet ,mixelsonK,Radenko-metraza-PK,0-1,2016.06.30,22:40:50,1457,1703,-5.0,4.0,A07,King's Indian Attack: Sicilian Variation,120+1,Time forfeit
 Classical ,valmasia3,minimathex,1-0,2016.06.30,22:40:55,1978,1986,14.0,-12.0,C31,"King's Gambit, Falkbeer Countergambit, Staunton Line",300+5,Normal
 Classical ,vafap,EjaEjaE,0-1,2016.06.30,22:40:50,1998,2025,-10.0,9.0,C44,Scotch Game: Benima Defense,480+0,Time forfeit
 Blitz ,Bakalinge,REDrip,1-0,2016.06.30,22:40:52,1777,1816,12.0,-13.0,C00,French Defense: King's Indian Attack,300+0,Normal
 Classical ,liches2015,nfxpnk,1-0,2016.06.30,22:40:53,1563,1407,6.0,-7.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,360+4,Normal
 Blitz tournament ,laliduma,JCFER,1-0,2016.06.30,22:40:46,1500,1908,480.0,-13.0,A10,English Opening: Anglo-Scandinavian Defense,300+0,Normal
 Bullet ,fsanna,Slavik_Kryklyvyy,0-1,2016.06.30,22:40:57,1896,1907,-11.0,12.0,A04,Zukertort Opening: Speelsmet Gambit,0+1,Normal
 Bullet ,haplin,alecs469,0-1,2016.06.30,22:40:49,1287,1398,-9.0,11.0,D02,Queen's Pawn Game: Anti-Torre,90+2,Time forfeit
 Classical ,Marcalex1926,v2u,1-0,2016.06.30,22:40:46,1524,1362,7.0,-6.0,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",1800+0,Normal
 Blitz ,erindreki,Powerdonok,1-0,2016.06.30,22:40:47,2486,2433,9.0,-9.0,E10,Blumenfeld Countergambit #2,180+0,Normal
 Blitz ,bokor,littlenemo13,1-0,2016.06.30,22:40:52,2004,2001,10.0,-11.0,A11,English Opening: Caro-Kann Defensive System,300+0,Time forfeit
 Classical ,Zaporoje,Grekers,1/2-1/2,2016.06.30,22:40:48,1453,1515,17.0,-1.0,A29,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line",1200+5,Normal
 Classical ,elephant62,mehdi181,0-1,2016.06.30,22:40:57,1472,1656,-6.0,6.0,C20,King's Pawn Game: Leonardis Variation,600+0,Normal
 Blitz ,Sotomartinez,CevizliSucuk,0-1,2016.06.30,22:40:55,1374,1478,-9.0,8.0,C42,Russian Game: Three Knights Game,180+2,Normal
 Bullet ,steq,Gianini,1-0,2016.06.30,22:40:57,1302,1380,15.0,-13.0,D01,Queen's Pawn Game: Chigorin Variation,60+0,Time forfeit
 Classical ,elpacorepiola,ASAMUEL4321,0-1,2016.06.30,22:40:58,1649,1665,-11.0,13.0,C30,"King's Gambit Declined, Classical Variation",900+0,Normal
 Bullet tournament ,K-a-z,karajin,0-1,2016.06.30,22:40:58,1598,1858,-5.0,4.0,B13,Caro-Kann Defense: Exchange Variation,60+0,Normal
 Blitz ,esspeter,DomiLuis,1-0,2016.06.30,22:40:55,1405,1434,13.0,-11.0,C34,"King's Gambit Accepted, Fischer Defense",300+0,Normal
 Bullet tournament ,ZePequeno,Pablo75,1-0,2016.06.30,22:40:58,2257,2096,7.0,-6.0,A01,Nimzo-Larsen Attack,60+0,Normal
 Bullet tournament ,bastimento,fay13011,1-0,2016.06.30,22:40:58,2046,1769,4.0,-4.0,D06,Queen's Gambit Refused: Marshall Defense,60+0,Time forfeit
 Classical ,Sergej1956,UFOLOGIST,1-0,2016.06.30,22:40:59,1970,1821,6.0,-7.0,C41,Philidor Defense #2,900+0,Normal
 Blitz ,xyuc3el,nicoalonso89,0-1,2016.06.30,22:41:00,1753,1498,-19.0,19.0,C44,Scotch Game: Scotch Gambit,180+2,Normal
 Blitz ,shakibaee65,chuspeon57,1-0,2016.06.30,22:41:02,1622,1558,9.0,-9.0,B40,Sicilian Defense: French Variation,180+1,Normal
 Bullet ,GlupaLama,dpikos,1-0,2016.06.30,22:41:03,1543,1320,5.0,-6.0,D06,Queen's Gambit,60+1,Normal
 Classical ,felipedias,facciadicazzi,0-1,2016.06.30,22:41:03,1896,1806,-13.0,14.0,C41,Philidor Defense: Larsen Variation,600+0,Normal
 Blitz ,Arranz,checkmatov,1-0,2016.06.30,22:40:55,1698,1781,14.0,-14.0,A03,Bird Opening: Dutch Variation,180+0,Normal
 Blitz ,Beauvain,Germain_1,0-1,2016.06.30,22:41:04,2222,2215,-11.0,10.0,B17,Caro-Kann Defense: Karpov Variation,180+0,Normal
 Blitz ,CARNAL1903,perenquen,0-1,2016.06.30,22:41:07,1359,1317,-12.0,13.0,A06,Zukertort Opening: Tennison Gambit,120+5,Normal
 Blitz ,ekkerrobben,bmv,0-1,2016.06.30,22:41:05,1741,1804,-9.0,8.0,D04,Queen's Pawn Game: Colle System,300+0,Time forfeit
 Bullet ,ksw913,bjarnibjj,0-1,2016.06.30,22:41:11,1531,1275,-18.0,26.0,C40,King's Pawn Game: Busch-Gass Gambit,120+0,Time forfeit
 Bullet ,halteristaangel,bluthbanana,0-1,2016.06.30,22:41:10,1589,1601,-11.0,11.0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",60+0,Normal
 Bullet tournament ,T_LUKE,taleguito,0-1,2016.06.30,22:40:58,1925,1985,-10.0,9.0,C40,King's Knight Opening,60+0,Time forfeit
 Classical ,ezzateb,nlp2013,0-1,2016.06.30,22:41:08,1851,2000,-7.0,7.0,A00,Van't Kruijs Opening,480+10,Normal
 Bullet ,dgchess,oberjarl,0-1,2016.06.30,22:41:05,1839,1872,-9.0,17.0,C00,French Defense: La Bourdonnais Variation,60+0,Normal
 Classical ,capadoc,king101,0-1,2016.06.30,22:41:10,1682,1409,-19.0,25.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,2400+8,Normal
 Bullet ,Kiiris,piwot3,1-0,2016.06.30,22:41:11,2087,2006,9.0,-8.0,C46,Three Knights Opening,60+0,Normal
 Blitz ,Franchiceiu,ANASTASIA-11,0-1,2016.06.30,22:41:11,1582,1401,-17.0,18.0,C50,Italian Game,120+3,Time forfeit
 Bullet ,LMFG,tiltCHIMP,1-0,2016.06.30,22:41:11,1773,1786,11.0,-12.0,B40,"Sicilian Defense: French Variation, Open",60+0,Normal
 Classical ,novaria-ivan,EL-MATAPICHONES,0-1,2016.06.30,22:41:08,1500,2012,-30.0,2.0,C11,"French Defense: Classical Variation, Steinitz Variation",600+10,Normal
 Blitz tournament ,RENZZO77,lasha-fero,0-1,2016.06.30,22:41:13,1885,2016,-7.0,8.0,C40,King's Pawn Game: Busch-Gass Gambit,180+0,Time forfeit
 Bullet ,bignik9,giganotosaurus,1-0,2016.06.30,22:41:11,1992,2072,13.0,-13.0,A41,Queen's Pawn,90+1,Normal
 Blitz tournament ,arkadyNa,trashcan,0-1,2016.06.30,22:41:13,1559,1702,-8.0,8.0,A00,Van't Kruijs Opening,180+0,Time forfeit
 Blitz ,liger,Mozartchess,1-0,2016.06.30,22:41:14,2207,2127,9.0,-8.0,A04,Zukertort Opening: Sicilian Invitation,180+0,Normal
 Blitz ,cbnelson92,aatpootarzan,1-0,2016.06.30,22:41:14,1785,1594,6.0,-6.0,D31,Queen's Gambit Declined: Queen's Knight Variation,180+2,Time forfeit
 Blitz tournament ,marknov,ringhio,1-0,2016.06.30,22:41:13,2041,1953,10.0,-9.0,B20,Sicilian Defense: Bowdler Attack,180+0,Time forfeit
 Classical ,Alfilius,danielavB,1-0,2016.06.30,22:41:15,1761,1636,8.0,-7.0,D02,Queen's Pawn Game: Krause Variation,600+0,Normal
 Classical ,Abu_jamil,jobu,1-0,2016.06.30,22:41:14,1716,1705,10.0,-10.0,A40,Horwitz Defense,540+4,Normal
 Bullet ,Ivan2610,eustahije,1-0,2016.06.30,22:41:05,1587,1681,14.0,-13.0,A00,Kadas Opening,60+2,Normal
 Bullet ,jugando90,potsy722,1/2-1/2,2016.06.30,22:41:15,1835,1895,2.0,-1.0,D06,Queen's Gambit Refused: Austrian Defense,60+0,Time forfeit
 Blitz ,EvgenyGolovkin,Lion777,0-1,2016.06.30,22:41:07,1309,1449,-7.0,7.0,C00,French Defense: Knight Variation,300+0,Normal
 Blitz ,tina-girl,molyneux,1-0,2016.06.30,22:41:15,1809,1812,12.0,-12.0,C05,"French Defense: Tarrasch Variation, Closed Variation",300+0,Normal
 Classical ,kaliduck,teimurazonline,1-0,2016.06.30,22:40:51,1574,1594,41.0,-12.0,C22,Center Game: Normal Variation,480+0,Normal
 Bullet tournament ,decidement,charlypeim,1-0,2016.06.30,22:41:20,1931,1638,3.0,-4.0,B08,Pirc Defense: Classical Variation,60+0,Normal
 Bullet ,SAVAGEMOOG,Locusta87,0-1,2016.06.30,22:41:15,1448,1614,-7.0,6.0,A00,Hungarian Opening,120+0,Time forfeit
 Blitz ,magnuscapablanca,VenomII,0-1,2016.06.30,22:41:20,1580,1643,-11.0,9.0,B00,Duras Gambit,300+0,Normal
 Blitz tournament ,horacioalberto,freshmove,0-1,2016.06.30,22:41:16,1760,1689,-13.0,16.0,B12,Caro-Kann Defense: Advance Variation,300+0,Time forfeit
 Blitz ,Apolocreed,c22,1-0,2016.06.30,22:41:19,2115,2100,10.0,-10.0,C34,"King's Gambit Accepted, Schallopp Defense",180+0,Normal
 Bullet ,Brocadox,Jiangsu,0-1,2016.06.30,22:41:22,1669,1776,-9.0,7.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,60+1,Time forfeit
 Blitz ,Skyste,busti22,0-1,2016.06.30,22:41:22,1588,1666,-9.0,8.0,C44,"Scotch Game: Scotch Gambit, Dubois Reti Defense",300+0,Normal
 Blitz tournament ,MilBor,TheDPmaster,1-0,2016.06.30,22:41:16,2043,1704,3.0,-11.0,B03,"Alekhine Defense: Four Pawns Attack, Fianchetto Variation",300+0,Normal
 Classical ,ivanbcee04,ravich11,1-0,2016.06.30,22:41:21,1618,1653,14.0,-12.0,A10,English Opening: Anglo-Lithuanian Variation,300+5,Normal
 Classical ,basico,AlcinoCorreia,0-1,2016.06.30,22:41:22,1772,1891,-8.0,7.0,C20,Bishop's Opening: Boi Variation,600+0,Normal
 Classical ,DTAOLMES,V-Anand,0-1,2016.06.30,22:41:16,1107,1358,-5.0,5.0,C22,Center Game: Hall Variation,900+10,Normal
 Bullet tournament ,nukro,djorfchess,0-1,2016.06.30,22:41:20,1306,1787,-19.0,2.0,B13,Caro-Kann Defense: Exchange Variation,60+0,Time forfeit
 Blitz ,TheSundanceKid,edua1974,1-0,2016.06.30,22:41:24,1634,1654,11.0,-12.0,A48,London System,240+2,Normal
 Blitz ,bbeltkyle89,Frann115,1-0,2016.06.30,22:41:25,1741,1645,10.0,-8.0,E32,Nimzo-Indian Defense: Classical Variation,300+0,Normal
 Classical ,xl30000,Greenland1945,0-1,2016.06.30,22:41:23,1796,1762,-11.0,12.0,B01,Scandinavian Defense: Main Line,360+3,Normal
 Bullet tournament ,MGKA,MARlANO,1-0,2016.06.30,22:41:20,1786,1873,15.0,-15.0,C25,Vienna Game: Zhuravlev Countergambit #2,60+0,Time forfeit
 Bullet ,LarsBrobakken,Secondoftwo,1-0,2016.06.30,22:41:20,1960,1817,7.0,-6.0,A00,Polish Opening: Birmingham Gambit,60+1,Time forfeit
 Bullet ,bound7,fel1x,1-0,2016.06.30,22:41:21,1501,1547,13.0,-12.0,A00,Hungarian Opening: Catalan Formation,60+0,Normal
 Classical ,kalagera,karimabualrub,1/2-1/2,2016.06.30,22:41:30,1695,1767,2.0,-2.0,C40,King's Knight Opening,600+0,Normal
 Blitz ,talsbentpin,Ajunior,0-1,2016.06.30,22:41:27,1824,1969,-8.0,7.0,C45,"Scotch Game: Scotch Gambit, Advance Variation",180+0,Normal
 Classical ,TekomoNaKombi,grogrogo,0-1,2016.06.30,22:41:28,1926,1878,-13.0,12.0,A17,"English Opening: Anglo-Indian Defense, Hedgehog System",600+0,Normal
 Bullet ,m1mnstr,t_b,1-0,2016.06.30,22:41:32,2098,1577,1.0,-1.0,D20,Queen's Gambit Accepted,60+0,Time forfeit
 Blitz ,Danileo65,chegora,1-0,2016.06.30,22:41:26,1804,1850,13.0,-13.0,A00,Grob Opening,300+0,Normal
 Bullet tournament ,MrDread,Darkantaris,0-1,2016.06.30,22:41:20,1698,1960,-4.0,5.0,D05,Colle System #2,60+0,Normal
 Bullet ,karpovs_putzfrau,joddle,1-0,2016.06.30,22:41:21,2416,2332,9.0,-8.0,B15,Caro-Kann Defense: Rasa-Studier Gambit,30+0,Time forfeit
 Blitz ,Nando_Oliveira,angellomelo,1-0,2016.06.30,22:41:28,1601,1590,11.0,-11.0,B06,Modern Defense,300+0,Normal
 Blitz ,papabally,Fart555,1-0,2016.06.30,22:41:27,1861,2074,17.0,-17.0,A43,Old Benoni Defense #2,300+0,Normal
 Blitz ,Elcordobes1980,tribulete,0-1,2016.06.30,22:41:30,2024,1905,-14.0,14.0,B32,Sicilian Defense: Open #3,180+0,Normal
 Blitz ,chessmaster96,jreado,0-1,2016.06.30,22:41:33,1307,1533,-4.0,5.0,C20,King's Pawn Game,300+0,Time forfeit
 Classical ,kingGus,Kaoruko,0-1,2016.06.30,22:41:31,1543,1578,-10.0,10.0,A00,Clemenz Opening,600+0,Normal
 Blitz ,LAYONEL,toni_the_man,0-1,2016.06.30,22:41:31,1733,1845,-8.0,8.0,C01,French Defense: Perseus Gambit,120+3,Normal
 Blitz ,Krowndsy,PabloTamariz,1/2-1/2,2016.06.30,22:41:35,1832,1842,1.0,0.0,A04,Zukertort Opening: Queen's Gambit Invitation,180+0,Normal
 Bullet tournament ,SHIMMA77,protoxyde,1/2-1/2,2016.06.30,22:41:35,1663,2018,10.0,-8.0,B10,Caro-Kann Defense,60+0,Time forfeit
 Bullet ,Abisoftware,zdiegol,1-0,2016.06.30,22:41:36,1808,1765,10.0,-10.0,A01,Nimzo-Larsen Attack,60+0,Normal
 Blitz ,pollok91583,tritondays,0-1,2016.06.30,22:41:33,1515,1722,-7.0,5.0,C50,Italian Game: Schilling-Kostic Gambit,240+0,Time forfeit
 Bullet ,omnivore,Vinvin,1-0,2016.06.30,22:41:36,2096,2127,11.0,-10.0,C31,"King's Gambit, Falkbeer Countergambit, Blackburne Attack",60+0,Normal
 Bullet ,sackedurqueen,Byering,0-1,2016.06.30,22:41:35,1884,1903,-11.0,10.0,A45,Indian Game,60+0,Time forfeit
 Blitz ,nagne,boye,1-0,2016.06.30,22:41:38,2322,2294,10.0,-9.0,C33,"King's Gambit Accepted, Bishop's Gambit, Bogoljubov Defense",180+0,Normal
 Classical ,Mephistopheles13,rksakrir,1-0,2016.06.30,22:41:21,1794,1682,8.0,-8.0,D30,"Queen's Gambit Declined: Tarrasch Defense, Pseudo-Tarrasch",300+8,Normal
 Classical ,bersong,paullb,1-0,2016.06.30,22:41:28,1626,1661,14.0,-12.0,D00,Queen's Pawn Game,300+6,Normal
 Blitz ,benwolfram,troyzabadani,1-0,2016.06.30,22:41:35,1751,1589,7.0,-6.0,C40,King's Pawn Game: Busch-Gass Gambit,180+0,Normal
 Classical tournament ,mikedeanbarlow,darmes,1-0,2016.06.30,22:41:38,2036,1570,2.0,-1.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,600+0,Normal
 Blitz ,_the_boss,chunchozurdo,0-1,2016.06.30,22:41:31,1768,1804,-10.0,9.0,D02,Queen's Pawn Game: London System,240+0,Time forfeit
 Classical tournament ,phedro70,alcool,1-0,2016.06.30,22:41:38,2025,1741,5.0,-4.0,A48,London System,600+0,Time forfeit
 Bullet tournament ,TonganChess,sgmsg,1-0,2016.06.30,22:41:35,2061,1689,3.0,-2.0,C00,"French Defense: Horwitz Attack, Papa-Ticulat Gambit",60+0,Time forfeit
 Blitz ,Caferserrer44,laumassambani,1-0,2016.06.30,22:41:33,1925,1771,7.0,-7.0,C46,Three Knights Opening,300+0,Normal
 Classical tournament ,AlexandreIII,demolidorbr666,0-1,2016.06.30,22:41:38,1387,1324,-13.0,25.0,A00,Van't Kruijs Opening,600+0,Normal
 Classical ,INeverWin123,Kunst,0-1,2016.06.30,22:41:41,1433,1553,-19.0,8.0,C41,Philidor Defense: Exchange Variation #3,10800+180,Time forfeit
 Bullet ,Gapawa,KemboSlice,1-0,2016.06.30,22:41:39,2209,2200,11.0,-17.0,A00,Van't Kruijs Opening,60+0,Time forfeit
 Blitz ,StanB,makata,1-0,2016.06.30,22:41:35,1620,1695,12.0,-19.0,A00,Van't Kruijs Opening,180+0,Normal
 Classical ,cippo33,kamencic1,1-0,2016.06.30,22:41:37,1707,1609,8.0,-7.0,D07,Queen's Gambit Refused: Chigorin Defense #3,300+8,Normal
 Classical ,tenerife38435,mikik,1-0,2016.06.30,22:41:46,1406,1506,15.0,-31.0,C23,Bishop's Opening,600+0,Normal
 Blitz ,abdolahi,Poporovitch,0-1,2016.06.30,22:41:47,2157,2217,-10.0,9.0,B01,Scandinavian Defense: Modern Variation #2,180+2,Normal
 Classical ,brkylvc,jergiovenile,0-1,2016.06.30,22:41:40,1577,1833,-5.0,5.0,A43,Old Benoni Defense,600+0,Normal
 Blitz ,april1,adrianyaness,0-1,2016.06.30,22:41:43,1510,1685,-6.0,6.0,C41,Philidor Defense,180+0,Normal
 Blitz ,Bistequete,linkdooo,0-1,2016.06.30,22:41:31,1694,1657,-12.0,69.0,B20,Sicilian Defense: Bowdler Attack,360+0,Normal
 Bullet tournament ,Letsasaq,CuriousKnight,0-1,2016.06.30,22:41:35,2014,2133,-8.0,8.0,A04,Reti Opening #2,60+0,Time forfeit
 Blitz ,lycos1,arielfisher1983,0-1,2016.06.30,22:41:36,1567,1551,-11.0,11.0,B23,Sicilian Defense: Closed Variation,180+0,Time forfeit
 Bullet ,chunkylover00,sorroleon76,1-0,2016.06.30,22:41:42,2058,1884,7.0,-6.0,A43,Old Benoni Defense,30+0,Time forfeit
 Blitz ,anildxb,QualisArtifex,1-0,2016.06.30,22:41:46,1865,1834,9.0,-10.0,B44,Sicilian Defense: Paulsen Variation,300+0,Normal
