Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination
 Blitz ,kozzika-beast,Colabone,0-1,2016.06.30,22:14:13,1980,2279,-4.0,4.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit
 Blitz ,thpower2,Tazy50,1-0,2016.06.30,22:14:16,1668,1273,2.0,-3.0,A06,Zukertort Opening: Tennison Gambit,300+0,Normal
 Bullet ,Ser3196,archcplotter,0-1,2016.06.30,22:14:16,1547,1294,-19.0,49.0,B54,Sicilian Defense #2,120+0,Time forfeit
 Bullet ,borgogniels,SchwarzerStern,0-1,2016.06.30,22:14:16,1948,1743,-16.0,15.0,C27,Vienna Game,30+0,Time forfeit
 Classical ,Vax,Naz88,1-0,2016.06.30,22:14:17,1991,1888,8.0,-7.0,C01,French Defense: Exchange Variation,480+7,Normal
 Classical ,StudiousOne,maschda16,0-1,2016.06.30,22:14:13,1259,1455,-9.0,7.0,C00,French Defense: Normal Variation,300+8,Normal
 Blitz ,radisss,Santymagno,0-1,2016.06.30,22:14:13,1885,1711,-16.0,43.0,A00,Polish Opening,240+2,Time forfeit
 Bullet tournament ,tarnival,Pablo_M,0-1,2016.06.30,22:14:18,1696,1666,-13.0,13.0,C65,Ruy Lopez: Berlin Defense #2,60+0,Normal
 Blitz tournament ,BaderBombs,BoskoRadic77,1-0,2016.06.30,22:14:02,2105,1849,5.0,-4.0,C44,Ponziani Opening,300+0,Normal
 Bullet ,osipov,LususV3,0-1,2016.06.30,22:14:17,2014,2142,-7.0,7.0,A45,Indian Game: Omega Gambit,60+0,Time forfeit
 Bullet ,BeautifulSquares,Macxsimus,1-0,2016.06.30,22:14:17,1740,1857,14.0,-14.0,E90,King's Indian Defense: Larsen Variation,60+0,Normal
 Blitz ,FMSanMarco,tosten,1-0,2016.06.30,22:14:17,2143,1952,7.0,-6.0,C23,Bishop's Opening,300+1,Normal
 Blitz ,hpawn,a1marko,0-1,2016.06.30,22:14:16,2154,2175,-10.0,12.0,C41,Philidor Defense: Exchange Variation,180+0,Normal
 Bullet tournament ,poopyhead,Whitekid2000,1-0,2016.06.30,22:14:18,1882,1722,12.0,-9.0,A00,Saragossa Opening,60+0,Normal
 Bullet tournament ,O-Dannyboy,sirozha,1-0,2016.06.30,22:14:18,1995,1844,7.0,-7.0,C78,Ruy Lopez: Morphy Defense #2,60+0,Normal
 Bullet ,FIGURELLI,pantypad,1-0,2016.06.30,22:14:04,1673,1664,10.0,-13.0,C53,"Italian Game: Classical Variation, Giuoco Pianissimo",120+0,Normal
 Blitz ,BreakRules,Richarh,1-0,2016.06.30,22:14:16,1503,1656,17.0,-16.0,E91,King's Indian Defense: Orthodox Variation,300+2,Time forfeit
 Bullet tournament ,cwaltz01,JohnHF,0-1,2016.06.30,22:14:18,1554,1851,-4.0,4.0,B00,Owen Defense,60+0,Normal
 Blitz ,arkin,WhitePegasus,1/2-1/2,2016.06.30,22:14:18,2036,2207,5.0,-5.0,B19,"Caro-Kann Defense: Classical Variation, Lobron System",180+0,Time forfeit
 Classical ,Avocat,Yaqyaqs,1-0,2016.06.30,22:14:11,1973,1373,0.0,-1.0,D02,Queen's Pawn Game: Chigorin Variation,300+5,Normal
 Classical ,muzzarella2002,dubajic,1-0,2016.06.30,22:14:19,1717,1586,7.0,-8.0,C20,King's Pawn Game: Wayward Queen Attack,300+8,Time forfeit
 Blitz ,nibul0,maluque,1-0,2016.06.30,22:14:12,1485,1469,10.0,-12.0,C02,French Defense: Advance Variation #2,180+3,Normal
 Blitz ,PedroJimenezz,aberr,1/2-1/2,2016.06.30,22:14:17,1619,1525,-3.0,3.0,C41,Philidor Defense: Exchange Variation #3,420+0,Time forfeit
 Classical ,Apollunai,VictorHaaland,0-1,2016.06.30,22:14:16,1923,1810,-16.0,15.0,B54,Sicilian Defense #2,300+7,Time forfeit
 Bullet ,zilez2003,zioIggino,0-1,2016.06.30,22:14:20,1389,1529,-49.0,7.0,C00,French Defense: King's Indian Attack,0+3,Normal
 Blitz ,Sandi_Croatia,hatethemall,0-1,2016.06.30,22:14:21,1648,1662,-11.0,10.0,A57,Benko Gambit,180+2,Time forfeit
 Bullet ,fsanna,MINSK_VAMPIRE,0-1,2016.06.30,22:14:22,1911,1838,-13.0,12.0,D00,Queen's Pawn Game #3,0+1,Time forfeit
 Bullet tournament ,chessman2212,splinck,0-1,2016.06.30,22:14:18,1423,1732,-25.0,4.0,A41,Queen's Pawn,60+0,Time forfeit
 Blitz ,mohammedkh,grbic1957,0-1,2016.06.30,22:14:21,1805,1838,-9.0,9.0,B30,Sicilian Defense: Old Sicilian,300+0,Normal
 Blitz ,trbb-200,Nasrallah,1-0,2016.06.30,22:14:22,1285,1106,6.0,-7.0,C47,Four Knights Game: Scotch Variation,180+1,Normal
 Classical ,tiglio,Stockafisso,1-0,2016.06.30,22:14:25,1484,1336,10.0,-7.0,B20,Sicilian Defense: Bowdler Attack,600+0,Normal
 Classical ,abdolahi,mosaviseed,1-0,2016.06.30,22:14:22,2326,2073,5.0,-5.0,C10,French Defense: Rubinstein Variation,420+2,Normal
 Bullet ,MardiProf,OMG_ClayAiken,1-0,2016.06.30,22:14:09,1805,1413,4.0,-3.0,A40,English Defense #2,30+2,Time forfeit
 Blitz ,Karandatta11,GurgenONE,0-1,2016.06.30,22:14:20,1579,1748,-7.0,6.0,C47,Four Knights Game: Scotch Variation,180+1,Normal
 Blitz ,elmuthalleth,Mikeulchess,0-1,2016.06.30,22:14:24,2241,2448,-6.0,5.0,E11,Bogo-Indian Defense: Wade-Smyslov Variation,300+0,Normal
 Classical ,badrlamal,oscarpalma,1-0,2016.06.30,22:14:25,2064,1473,1.0,-4.0,C30,King's Gambit,900+0,Normal
 Blitz ,Landei,RulloCompressore,1-0,2016.06.30,22:14:28,1823,1463,4.0,-3.0,B00,Owen Defense,300+3,Time forfeit
 Blitz ,stefano375,mahmoud_avin_sevin,0-1,2016.06.30,22:14:25,1394,1892,-1.0,2.0,B20,Sicilian Defense: Staunton-Cochrane Variation,180+0,Normal
 Classical ,Dollabill,Aracs,0-1,2016.06.30,22:14:28,1701,1427,-18.0,26.0,C20,King's Pawn Game: Mengarini's Opening,900+8,Time forfeit
 Blitz ,donatello9,EnriqueVillegas,0-1,2016.06.30,22:14:27,1666,1683,-10.0,10.0,A17,"English Opening: Anglo-Indian Defense, Hedgehog System",300+0,Normal
 Blitz ,karat2,vectra,0-1,2016.06.30,22:14:30,1935,1879,-14.0,12.0,C41,Philidor Defense: Exchange Variation #2,180+0,Normal
 Classical ,vasyl-60,dentist_zloy,1-0,2016.06.30,22:14:29,1767,1747,10.0,-10.0,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",600+1,Normal
 Blitz ,DIEGO_M,achimari,1/2-1/2,2016.06.30,22:14:28,1611,1599,-1.0,0.0,B06,Modern Defense,0+10,Normal
 Blitz ,mcalderon,beto_saba,0-1,2016.06.30,22:14:30,1609,1787,-6.0,6.0,D06,Queen's Gambit Refused: Marshall Defense,300+0,Time forfeit
 Blitz ,bremstra,jairojairojairo,1-0,2016.06.30,22:14:28,1848,1990,16.0,-16.0,C41,Philidor Defense #3,240+0,Normal
 Classical ,javierfergom,Ivannbb,1-0,2016.06.30,22:14:30,1229,1335,18.0,-14.0,C42,Petrov's Defense #4,600+0,Normal
 Blitz ,tastanbekov1991,krgzololeg,0-1,2016.06.30,22:14:19,1389,1555,-6.0,7.0,C23,Bishop's Opening,300+0,Normal
 Classical ,mehmet71,Serbian_Valjevo,0-1,2016.06.30,22:14:30,1738,1669,-13.0,13.0,C20,King's Pawn Game: Wayward Queen Attack,540+0,Normal
 Classical ,compasino,SineRequie,0-1,2016.06.30,22:14:31,1856,1812,-11.0,12.0,D15,Slav Defense: Schlechter Variation,900+5,Normal
 Blitz tournament ,cavaleirobranco,antoniomsn,0-1,2016.06.30,22:14:33,1567,2028,-2.0,2.0,B50,Sicilian Defense,300+0,Normal
 Classical ,Nakilex,voodoox,0-1,2016.06.30,22:14:32,1825,1588,-19.0,18.0,B45,"Sicilian Defense: Paulsen Variation, Normal Variation",600+0,Time forfeit
 Blitz ,erico1250,Ali08,1/2-1/2,2016.06.30,22:14:32,1448,1567,4.0,-4.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,300+0,Normal
 Bullet ,Obito2016,ruslanschandorff,0-1,2016.06.30,22:14:32,2172,2028,-15.0,15.0,D31,Semi-Slav Defense: Accelerated Move Order,60+0,Time forfeit
 Bullet ,nilo1968,MCozturk,0-1,2016.06.30,22:14:30,1667,1913,-5.0,5.0,B07,Pirc Defense #5,60+0,Time forfeit
 Blitz tournament ,Damianlamy,kevin-2,1-0,2016.06.30,22:14:33,2149,2089,10.0,-10.0,C78,Ruy Lopez: Morphy Defense,300+0,Normal
 Blitz tournament ,sprbrrng,TheBlackHawk,1-0,2016.06.30,22:14:33,1756,1709,11.0,-10.0,C10,"French Defense: Rubinstein Variation, Fort Knox Variation",300+0,Normal
 Blitz ,RazorChess,dennisx,0-1,2016.06.30,22:14:34,1552,1747,-10.0,6.0,D00,Queen's Pawn Game #2,420+0,Normal
 Classical ,Ladosky,Ulfhundstad,0-1,2016.06.30,22:14:22,1859,1837,-11.0,11.0,E32,Nimzo-Indian Defense: Classical Variation,600+0,Normal
 Blitz ,Torreactiva,sara013,1-0,2016.06.30,22:14:34,1967,1997,11.0,-11.0,C05,"French Defense: Tarrasch Variation, Closed Variation #2",180+2,Normal
 Bullet ,Morozzova,liparrene,0-1,2016.06.30,22:14:34,1646,1919,-4.0,3.0,A40,English Defense #2,60+0,Normal
 Bullet ,the2percent,ANALISADOR,1-0,2016.06.30,22:14:31,1630,1584,10.0,-10.0,C21,Danish Gambit,60+0,Time forfeit
 Classical ,ferrolho1,elpacorepiola,1-0,2016.06.30,22:14:35,1740,1657,8.0,-8.0,D20,Queen's Gambit Accepted: Old Variation,900+0,Normal
 Blitz ,Guaimare,middlesex,1-0,2016.06.30,22:14:34,1972,1904,10.0,-8.0,B50,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order",300+0,Normal
 Classical ,d12345,arca61,1-0,2016.06.30,22:14:35,2110,2031,22.0,-8.0,A04,Zukertort Opening: Black Mustang Defense,600+0,Normal
 Bullet ,vladasarlo,nullvektor,1-0,2016.06.30,22:14:35,1558,1500,7.0,-149.0,C41,Philidor Defense,120+1,Normal
 Blitz ,mejo,BRachdad,0-1,2016.06.30,22:14:36,1743,1746,-11.0,11.0,C44,Ponziani Opening: Jaenisch Counterattack,300+0,Normal
 Blitz ,LukaTreb,poopi,0-1,2016.06.30,22:14:36,2333,2333,-10.0,10.0,E63,"King's Indian Defense: Fianchetto Variation, Panno Variation",180+2,Normal
 Blitz ,ACFKC,AntoineBriet,0-1,2016.06.30,22:14:36,2531,2529,-10.0,11.0,B78,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Old Line",180+0,Normal
