state,condition,measure_id,measure_name,score,start_date,end_date
CA,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),151.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),164.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),206.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,270.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),291.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),248.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),251.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),286.0,2023-04-01,2024-03-31
CA,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2.0,2023-01-01,2023-12-31
CA,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,73.0,2023-04-01,2024-03-31
CA,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,91.0,2023-01-01,2023-12-31
CA,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,67.0,2023-04-01,2024-03-31
CA,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,74.0,2023-04-01,2024-03-31
CA,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,87.0,2023-04-01,2024-03-31
CA,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,82.0,2023-04-01,2024-03-31
CA,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,93.0,2023-04-01,2024-03-31
CO,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,133.0,2023-04-01,2024-03-31
CO,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),135.0,2023-04-01,2024-03-31
CO,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),123.0,2023-04-01,2024-03-31
CO,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),152.0,2023-04-01,2024-03-31
CO,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),161.0,2023-04-01,2024-03-31
CO,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,240.0,2023-04-01,2024-03-31
CO,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),269.0,2023-04-01,2024-03-31
CO,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),223.0,2023-04-01,2024-03-31
CO,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),277.0,2023-04-01,2024-03-31
CO,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),248.0,2023-04-01,2024-03-31
CO,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,1.0,2023-01-01,2023-12-31
CO,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,70.0,2023-04-01,2024-03-31
CO,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,95.0,2023-01-01,2023-12-31
