town,studio_units,1br_units,2br_units,3br_units,4br_units,tot_units,square_footage,ceiling_height,final_market_value,investment_rating,net_operating_income,parking_spots,year_built
Elk Grove,0.0,0,0,0.0,0.0,0,5844,14,446684,C,40956,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,9779,16,747455,C,68533,0.0,1992
Elk Grove,0.0,0,0,0.0,0.0,0,11904,17,880118,C,83426,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,11904,17,880118,C,83426,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,11904,17,880118,C,83426,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,6269,14,479738,C,43934,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,5285,14,403957,C,37038,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,5285,14,403957,C,37038,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,5285,14,403957,C,37038,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,5285,14,403957,C,37038,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,5285,14,606101,C,42594,0.0,2015
Elk Grove,0.0,0,0,0.0,0.0,0,5285,14,403957,C,37038,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,5285,14,403957,C,37038,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,6925,16,529310,C,48532,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,23589,17,1631048,C,155593,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,112000,24,29986061,A,678300,0.0,2021
Elk Grove,0.0,0,0,0.0,0.0,0,440175,22,52105715,A,2665809,0.0,2021
Elk Grove,0.0,0,0,0.0,0.0,0,120375,26,12860779,B,729021,0.0,2020
Elk Grove,0.0,0,0,0.0,0.0,0,11975,12,885368,C,83923,0.0,1982
Elk Grove,0.0,0,0,0.0,0.0,0,20000,16,1478694,C,140165,0.0,1982
Elk Grove,0.0,0,0,0.0,0.0,0,5980,16,457079,C,41909,0.0,1982
Elk Grove,0.0,0,0,0.0,0.0,0,10000,16,764347,C,70082,0.0,1982
Elk Grove,0.0,0,0,0.0,0.0,0,11972,14,885146,C,83902,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,9983,16,763047,C,69963,0.0,1982
Elk Grove,0.0,0,0,0.0,0.0,0,20216,16,1397824,C,133344,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,9983,16,763047,C,69963,0.0,1982
Elk Grove,0.0,0,0,0.0,0.0,0,9702,16,741569,C,67994,0.0,1982
Elk Grove,0.0,0,0,0.0,0.0,0,26481,16,1831014,C,174668,0.0,1997
Elk Grove,0.0,0,0,0.0,0.0,0,19992,16,1478102,C,140108,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,19992,16,1478102,C,140108,0.0,1983
